"Date","Price","Open","High","Low","Vol.","Change %"
"12/17/2024","371,756","371,756","371,756","371,756","4.78M","0.74%"
"12/16/2024","369,030","369,030","369,030","369,030","21.04M","-0.37%"
"12/13/2024","370,401","370,401","370,401","370,401","30.34M","-0.49%"
"12/12/2024","372,231","372,231","372,231","372,231","7.89M","1.18%"
"12/11/2024","367,908","367,908","367,908","367,908","9.44M","0.54%"
"12/10/2024","365,916","365,916","365,916","365,916","23.60M","-0.72%"
"12/09/2024","368,572","368,572","368,572","368,572","9.55M","0.32%"
"12/06/2024","367,407","367,407","367,407","367,407","360.30M","-0.11%"
"12/05/2024","367,814","367,814","367,814","367,814","14.55M","-0.30%"
"12/04/2024","368,924","368,924","368,924","368,924","14.48M","-0.38%"
"12/03/2024","370,325","370,325","370,325","370,325","22.33M","-0.23%"
"12/02/2024","371,167","371,167","371,167","371,167","30.20M","0.34%"
"11/29/2024","369,926","369,926","369,926","369,926","369.93K","0.13%"
"11/28/2024","369,448","369,448","369,448","369,448","20.46M","1.02%"
"11/27/2024","365,720","365,720","365,720","365,720","23.06M","0.31%"
"11/26/2024","364,577","364,577","364,577","364,577","26.23M","0.90%"
"11/25/2024","361,336","361,336","361,336","361,336","18.47M","0.83%"
"11/22/2024","358,347","358,347","358,347","358,347","5.70M","-0.28%"
"11/21/2024","359,368","359,368","359,368","359,368","22.89M","-0.56%"
"11/20/2024","361,382","361,382","361,382","361,382","25.99M","-0.17%"
"11/19/2024","361,988","361,988","361,988","361,988","362.51K","-0.14%"
"11/18/2024","362,506","362,506","362,506","362,506","24.54M","0.41%"
"11/15/2024","361,016","361,016","361,016","361,016","14.38M","0.09%"
"11/14/2024","360,694","360,694","360,694","360,694","24.17M","0.45%"
"11/13/2024","359,090","359,090","359,090","359,090","10.92M","-0.66%"
"11/12/2024","361,463","361,463","361,463","361,463","5.90M","-0.22%"
"11/11/2024","362,264","362,264","362,264","362,264","11.74M","-0.39%"
"11/08/2024","363,676","363,676","363,676","363,676","16.29M","-0.58%"
"11/07/2024","365,804","365,804","365,804","365,804","7.26M","0.88%"
"11/06/2024","362,599","362,599","362,599","362,599","8.80M","-0.79%"
"11/05/2024","365,474","365,474","365,474","365,474","5.42M","0.15%"
"11/04/2024","364,914","364,914","364,914","364,914","34.07M","-0.14%"
"11/01/2024","365,439","365,439","365,439","365,439","12.16M","0.47%"
"10/31/2024","363,735","363,735","363,735","363,735","27.47M","0.89%"
"10/30/2024","360,523","360,523","360,523","360,523","31.03M","-0.49%"
"10/29/2024","362,297","362,297","362,297","362,297","20.69M","0.98%"
"10/28/2024","358,772","358,772","358,772","358,772","21.52M","1.06%"
"10/25/2024","355,021","355,021","355,021","355,021","7.27M","-0.39%"
"10/24/2024","356,408","356,408","356,408","356,408","4.43M","0.03%"
"10/23/2024","356,293","356,293","356,293","356,293","11.40M","1.23%"
"10/22/2024","351,969","351,969","351,969","351,969","10.85M","-1.55%"
"10/18/2024","357,497","357,497","357,497","357,497","6.70M","-0.17%"
"10/17/2024","358,115","358,115","358,115","358,115","9.25M","-0.23%"
"10/16/2024","358,937","358,937","358,937","358,937","3.02M","1.01%"
"10/15/2024","355,360","355,360","355,360","355,360","6.03M","-0.36%"
"10/14/2024","356,655","356,655","356,655","356,655","11.43M","-0.37%"
"10/11/2024","357,986","357,986","357,986","357,986","4.91M","0.65%"
"10/10/2024","355,671","355,671","355,671","355,671","8.31M","0.10%"
"10/09/2024","355,309","355,309","355,309","355,309","10.49M","0.13%"
"10/08/2024","354,830","354,830","354,830","354,830","6.84M","0.01%"
"10/07/2024","354,802","354,802","354,802","354,802","6.43M","-0.34%"
"10/04/2024","356,000","356,000","356,000","356,000","19.30M","-0.87%"
"10/03/2024","359,124","359,124","359,124","359,124","13.18M","0.16%"
"10/02/2024","358,550","358,550","358,550","358,550","11.62M","-0.80%"
"10/01/2024","361,460","361,460","361,460","361,460","12.73M","-0.23%"
"09/30/2024","362,290","362,290","362,290","362,290","48.41M","1.01%"
"09/27/2024","358,669","358,669","358,669","358,669","47.02M","1.46%"
"09/26/2024","353,514","353,514","353,514","353,514","19.36M","1.02%"
"09/25/2024","349,959","349,959","349,959","349,959","28.37M","0.22%"
"09/24/2024","349,183","349,183","349,183","349,183","14.59M","-0.27%"
"09/23/2024","350,128","350,128","350,128","350,128","17.61M","0.51%"
"09/20/2024","348,363","348,363","348,363","348,363","127.84M","-0.58%"
"09/19/2024","350,390","350,390","350,390","350,390","33.59M","-0.03%"
"09/18/2024","350,512","350,512","350,512","350,512","18.83M","0.42%"
"09/17/2024","349,044","349,044","349,044","349,044","40.61M","-0.41%"
"09/16/2024","350,498","350,498","350,498","350,498","8.17M","0.83%"
"09/13/2024","347,602","347,602","347,602","347,602","194.08M","-0.44%"
"09/12/2024","349,126","349,126","349,126","349,126","5.10M","0.21%"
"09/11/2024","348,403","348,403","348,403","348,403","6.64M","-0.31%"
"09/10/2024","349,474","349,474","349,474","349,474","7.44M","-0.17%"
"09/09/2024","350,071","350,071","350,071","350,071","17.18M","0.80%"
"09/06/2024","347,280","347,280","347,280","347,280","6.29M","0.36%"
"09/05/2024","346,018","346,018","346,018","346,018","45.28M","-1.36%"
"09/04/2024","350,785","350,785","350,785","350,785","5.35M","-0.11%"
"09/03/2024","351,179","351,179","351,179","351,179","5.75M","-0.53%"
"09/02/2024","353,055","353,055","353,055","353,055","6.14M","-0.63%"
"08/30/2024","355,300","355,300","355,300","355,300","8.67M","0.81%"
"08/29/2024","352,440","352,440","352,440","352,440","13.19M","-0.15%"
"08/28/2024","352,978","352,978","352,978","352,978","9.91M","0.76%"
"08/27/2024","350,316","350,316","350,316","350,316","18.55M","0.14%"
"08/26/2024","349,833","349,833","349,833","349,833","15.27M","-0.34%"
"08/23/2024","351,011","351,011","351,011","351,011","30.64M","0.35%"
"08/22/2024","349,798","349,798","349,798","349,798","6.21M","-0.12%"
"08/21/2024","350,215","350,215","350,215","350,215","5.43M","0.75%"
"08/20/2024","347,610","347,610","347,610","347,610","6.87M","-0.31%"
"08/19/2024","348,692","348,692","348,692","348,692","7.61M","-0.78%"
"08/16/2024","351,434","351,434","351,434","351,434","9.22M","-0.12%"
"08/15/2024","351,851","351,851","351,851","351,851","8.62M","1.11%"
"08/14/2024","347,995","347,995","347,995","347,995","26.95M","-0.51%"
"08/13/2024","349,784","349,784","349,784","349,784","10.18M","-0.47%"
"08/12/2024","351,430","351,430","351,430","351,430","7.10M","0.18%"
"08/09/2024","350,796","350,796","350,796","350,796","10.91M","0.06%"
"08/08/2024","350,590","350,590","350,590","350,590","6.26M","-0.07%"
"08/07/2024","350,824","350,824","350,824","350,824","8.66M","-0.71%"
"08/05/2024","353,347","353,347","353,347","353,347","6.40M","-0.31%"
"08/02/2024","354,459","354,459","354,459","354,459","78.75M","0.19%"
"07/31/2024","353,770","353,770","353,770","353,770","21.65M","0.30%"
"07/30/2024","352,724","352,724","352,724","352,724","13.65M","-0.70%"
"07/29/2024","355,200","355,200","355,200","355,200","12.02M","-0.39%"
"07/26/2024","356,593","356,593","356,593","356,593","13.51M","0.47%"
"07/25/2024","354,910","354,910","354,910","354,910","12.85M","0.47%"
"07/24/2024","353,243","353,243","353,243","353,243","5.05M","-0.43%"
"07/23/2024","354,761","354,761","354,761","354,761","11.70M","0.29%"
"07/22/2024","353,752","353,752","353,752","353,752","17.74M","0.52%"
"07/19/2024","351,921","351,921","351,921","351,921","7.40M","-0.27%"
"07/18/2024","352,864","352,864","352,864","352,864","7.10M","-0.34%"
"07/17/2024","354,079","354,079","354,079","354,079","26.56M","0.39%"
"07/16/2024","352,707","352,707","352,707","352,707","5.83M","-1.22%"
"07/15/2024","357,080","357,080","357,080","357,080","3.13M","-0.17%"
"07/12/2024","357,690","357,690","357,690","357,690","26.13M","-0.12%"
"07/11/2024","358,130","358,130","358,130","358,130","8.13M","0.28%"
"07/10/2024","357,127","357,127","357,127","357,127","17.98M","-0.06%"
"07/09/2024","357,352","357,352","357,352","357,352","496.10M","0.02%"
"07/08/2024","357,293","357,293","357,293","357,293","4.65M","-0.03%"
"07/05/2024","357,397","357,397","357,397","357,397","2.85M","-0.64%"
"07/04/2024","359,696","359,696","359,696","359,696","3.63M","0.78%"
"07/02/2024","356,910","356,910","356,910","356,910","15.70M","-0.38%"
"07/01/2024","358,284","358,284","358,284","358,284","7.34M","0.04%"
"06/28/2024","358,137","358,137","358,137","358,137","27.05M","0.89%"
"06/27/2024","354,970","354,970","354,970","354,970","13.68M","-0.72%"
"06/26/2024","357,537","357,537","357,537","357,537","13.14M","0.23%"
"06/25/2024","356,734","356,734","356,734","356,734","11.35M","0.26%"
"06/24/2024","355,796","355,796","355,796","355,796","13.67M","1.88%"
"06/21/2024","349,223","349,223","349,223","349,223","18.27M","-1.19%"
"06/20/2024","353,433","353,433","353,433","353,433","6.18M","0.27%"
"06/19/2024","352,472","352,472","352,472","352,472","9.52M","-0.29%"
"06/18/2024","353,488","353,488","353,488","353,488","6.80M","-0.56%"
